rank,feature,importance
1,EXT_SOURCE_1,357.6
2,EXT_SOURCE_3,311.6
3,EXT_SOURCE_2,307.0
4,DAYS_BIRTH,228.6
5,AMT_CREDIT,204.4
6,AMT_ANNUITY,195.2
7,DAYS_EMPLOYED,150.20000000000002
8,AMT_GOODS_PRICE,144.2
9,MAX(bureau.DAYS_CREDIT),138.79999999999998
10,DAYS_ID_PUBLISH,122.8
11,MAX(bureau.DAYS_CREDIT_ENDDATE),121.8
12,OWN_CAR_AGE,104.0
13,SUM(previous_app.MIN(installments.AMT_PAYMENT)),101.8
14,MAX(bureau.DAYS_ENDDATE_FACT),99.6
15,MEAN(previous_app.MIN(installments.AMT_PAYMENT)),99.0
16,MIN(installments.AMT_PAYMENT),98.0
17,MEAN(bureau.AMT_CREDIT_SUM_DEBT),93.0
18,DAYS_REGISTRATION,92.6
19,DAYS_LAST_PHONE_CHANGE,86.4
20,MEAN(previous_app.COUNT(cash)),82.8
21,MAX(bureau.AMT_CREDIT_SUM),81.6
22,MEAN(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),79.8
23,REGION_POPULATION_RELATIVE,72.80000000000001
24,MEAN(bureau.DAYS_CREDIT),70.6
25,MAX(installments.DAYS_ENTRY_PAYMENT),69.8
26,MEAN(bureau.AMT_CREDIT_SUM),67.2
27,MIN(bureau.AMT_CREDIT_SUM),67.0
28,SUM(bureau.DAYS_CREDIT_ENDDATE),62.8
29,MEAN(previous_app.HOUR_APPR_PROCESS_START),62.599999999999994
30,SUM(bureau.AMT_CREDIT_SUM),61.0
31,MEAN(bureau.AMT_CREDIT_MAX_OVERDUE),58.2
32,MAX(bureau.DAYS_CREDIT_UPDATE),56.8
33,MEAN(previous_app.CNT_PAYMENT),55.60000000000001
34,MEAN(previous_app.SELLERPLACE_AREA),55.6
35,SUM(previous_app.AMT_DOWN_PAYMENT),55.599999999999994
36,MAX(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),53.8
37,AMT_INCOME_TOTAL,53.4
38,MAX(previous_app.RATE_DOWN_PAYMENT),52.2
39,MEAN(bureau.DAYS_CREDIT_ENDDATE),49.8
40,MEAN(previous_app.COUNT(installments)),48.400000000000006
41,SUM(bureau.AMT_CREDIT_SUM_DEBT),47.8
42,MEAN(bureau.DAYS_ENDDATE_FACT),46.8
43,MEAN(previous_app.MIN(cash.CNT_INSTALMENT_FUTURE)),44.4
44,MEAN(bureau.DAYS_CREDIT_UPDATE),44.4
45,MAX(previous_app.AMT_DOWN_PAYMENT),44.4
46,CODE_GENDER,44.2
47,MIN(previous_app.AMT_GOODS_PRICE),43.599999999999994
48,NAME_FAMILY_STATUS,43.400000000000006
49,MEAN(previous_app.AMT_ANNUITY),43.0
50,MAX(bureau.AMT_CREDIT_SUM_DEBT),42.0
51,MAX(previous_app.DAYS_DECISION),41.6
52,SUM(bureau.DAYS_CREDIT),41.6
53,MAX(previous_app.SELLERPLACE_AREA),40.2
54,MIN(previous_app.AMT_ANNUITY),39.8
55,NAME_EDUCATION_TYPE,39.6
56,MAX(previous_app.AMT_ANNUITY),39.599999999999994
57,MAX(previous_app.MEAN(installments.NUM_INSTALMENT_VERSION)),39.0
58,MEAN(cash.CNT_INSTALMENT_FUTURE),39.0
59,MEAN(previous_app.DAYS_DECISION),38.400000000000006
60,MEAN(previous_app.AMT_DOWN_PAYMENT),38.4
61,SUM(installments.AMT_PAYMENT),38.4
62,MEAN(cash.SK_ID_CURR),38.2
63,SUM(previous_app.MIN(cash.CNT_INSTALMENT_FUTURE)),38.0
64,MIN(bureau.DAYS_CREDIT_ENDDATE),38.0
65,MIN(installments.AMT_INSTALMENT),37.8
66,MIN(bureau.DAYS_ENDDATE_FACT),37.6
67,MIN(bureau.DAYS_CREDIT),37.400000000000006
68,MEAN(bureau.AMT_CREDIT_SUM_LIMIT),37.2
69,MAX(previous_app.MIN(installments.AMT_PAYMENT)),37.2
70,SUM(previous_app.SELLERPLACE_AREA),36.6
71,MEAN(previous_app.SUM(installments.NUM_INSTALMENT_VERSION)),36.2
72,SUM(previous_app.RATE_DOWN_PAYMENT),36.0
73,SUM(previous_app.CNT_PAYMENT),36.0
74,MAX(installments.DAYS_INSTALMENT),35.6
75,MIN(previous_app.MEAN(installments.AMT_PAYMENT)),35.599999999999994
76,MAX(bureau.AMT_CREDIT_MAX_OVERDUE),35.2
77,MAX(previous_app.SUM(cash.SK_ID_CURR)),35.0
78,MEAN(previous_app.RATE_DOWN_PAYMENT),34.8
79,MIN(previous_app.RATE_DOWN_PAYMENT),34.8
80,MAX(previous_app.SUM(installments.AMT_PAYMENT)),34.6
81,TOTALAREA_MODE,34.0
82,SUM(bureau.AMT_CREDIT_MAX_OVERDUE),33.4
83,MAX(previous_app.CNT_PAYMENT),32.800000000000004
84,MEAN(previous_app.SUM(installments.AMT_PAYMENT)),32.8
85,MIN(previous_app.SUM(installments.SK_ID_CURR)),32.8
86,MEAN(previous_app.SUM(installments.SK_ID_CURR)),32.599999999999994
87,MAX(cash.MONTHS_BALANCE),32.2
88,MIN(bureau.DAYS_CREDIT_UPDATE),32.0
89,MEAN(previous_app.MEAN(installments.NUM_INSTALMENT_VERSION)),31.0
90,MEAN(previous_app.SUM(cash.SK_ID_CURR)),30.200000000000003
91,APARTMENTS_MODE,30.0
92,REGION_RATING_CLIENT_W_CITY,29.200000000000003
93,MIN(previous_app.SUM(cash.SK_ID_CURR)),29.2
94,SUM(bureau.DAYS_CREDIT_UPDATE),29.199999999999996
95,HOUR_APPR_PROCESS_START,28.8
96,MEAN(installments.NUM_INSTALMENT_VERSION),28.799999999999997
97,SUM(bureau.DAYS_ENDDATE_FACT),28.6
98,SUM(previous_app.DAYS_LAST_DUE_1ST_VERSION),28.4
99,MEAN(installments.AMT_PAYMENT),28.200000000000003
100,MAX(previous_app.SUM(installments.SK_ID_CURR)),27.4
101,MIN(bureau.AMT_CREDIT_SUM_DEBT),27.200000000000003
102,LANDAREA_MODE,27.2
103,MIN(previous_app.SUM(installments.AMT_INSTALMENT)),27.0
104,SUM(previous_app.DAYS_DECISION),26.6
105,MAX(previous_app.MIN(installments.AMT_INSTALMENT)),26.4
106,SUM(cash.SK_ID_CURR),26.200000000000003
107,MEAN(previous_app.MIN(installments.AMT_INSTALMENT)),26.2
108,MEAN(previous_app.SUM(cash.MONTHS_BALANCE)),26.2
109,SUM(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),26.2
110,SUM(previous_app.MEAN(installments.NUM_INSTALMENT_VERSION)),26.0
111,MEAN(previous_app.AMT_CREDIT),26.0
112,MIN(previous_app.SUM(cash.MONTHS_BALANCE)),25.8
113,FLAG_DOCUMENT_3,25.6
114,NAME_CONTRACT_TYPE,25.6
115,LIVINGAREA_MODE,25.4
116,MIN(previous_app.SELLERPLACE_AREA),25.200000000000003
117,MAX(previous_app.AMT_GOODS_PRICE),25.2
118,MEAN(previous_app.AMT_APPLICATION),24.800000000000004
119,YEARS_BEGINEXPLUATATION_MODE,24.8
120,MAX(bureau.AMT_ANNUITY),24.6
121,NAME_INCOME_TYPE,20.799999999999997
122,OCCUPATION_TYPE,14.8
123,CNT_CHILDREN,4.0
124,CNT_FAM_MEMBERS,6.2
